rank,code,name,sector,roe,net_margin,profit_yoy,rev_yoy,gross_margin,eps_yoy,score
1,300502,新易盛,高速光模块,9.128200000000009,38.80617562906175,384.54,257.8921068949999,48.6597338537,382.60869565217394,1.9826006330581771
2,688256,寒武纪,AI/GPU 算力芯片,6.32,31.983586853325008,256.8155658397,257.8921068949999,55.9897126931,-257.4074074074074,1.4253992898939487
3,300394,天孚通信,光无源器件与光引擎,8.13,35.741638656014835,21.07,29.106096866,53.0450541469,-13.897700237906408,1.284234388076795
4,300476,胜宏科技,PCB 印制电路板,9.128200000000009,21.349132985801454,339.22,80.314475653,33.3747055967,345.83333333333337,1.1757845847414723
5,688008,澜起科技,网络与接口芯片,4.5,39.96246390941489,135.14,65.7766068172,60.4497811316,129.99999999999997,1.16544568514421
6,603259,药明康德,医药研发外包,6.08,38.03329745828056,89.06,20.9555856721,42.2603537945,92.53731343283582,1.1110722849468742
7,300604,长川科技,半导体测试设备,3.3,13.615518838199653,2422.727315581787,45.7399942271,52.7517869188,1391.3249999999962,0.9533163920836452
8,300308,中际旭创,高速光模块,7.94,23.716426014484153,56.83,37.8236822825,36.7009988471,54.83870967741935,0.9507386854884349
9,600276,恒瑞医药,创新药研发,4.08,26.00828004818243,36.9,20.1428992029,72.48011917453994,42.85714285714286,0.7240533870921284
10,688726,拉普拉斯,光伏制程设备,6.76,17.377293874295052,44.36,36.4787151492,32.4105842692,29.166666666666675,0.6571332764697784
11,600900,长江电力,水电运营,2.43,30.4478354007171,30.56,8.6769265327,52.9766746662,30.51787916152897,0.5673619031697318
12,002371,北方华创,刻蚀与制程设备,4.95,19.262754812998946,38.8,37.903283475,43.0156502414,2.137269510150852,0.5601489878098548
13,301165,锐捷网络,网络交换设备,2.31,4.230156618719164,2422.727315581787,18.1387526148,37.4892835515,1391.3249999999962,0.5236263775615989
14,601899,紫金矿业,工业金属铜金,7.12,12.881031639596246,62.39,5.5520849254,22.8859705135,60.92436974789916,0.5026108101998202
15,300054,鼎龙股份,半导体工艺材料,3.73,17.113384081396106,72.84,16.367305799,48.8198375317,73.81228273464657,0.3913038476158631
16,300666,江丰电子,半导体基础材料,3.42,15.714182738250038,163.58,29.5267816422,32.3857941367,168.18181818181816,0.32002293632710743
17,300373,扬杰科技,功率半导体器件,3.07,17.285947408199867,51.22,18.9039193719,34.603007485,51.515151515151516,0.27215348355512087
18,002050,三花智控,热管理部件,4.57,11.779412588008945,39.47,19.0990093073,26.8271507758,41.17647058823528,0.25605906640742515
19,601088,中国神华,煤炭开采运营,2.8,17.171804268161242,-18.0,-21.0714366734,34.0633757275,-18.008185538881317,0.14474067849514174
20,600183,生益科技,覆铜板与 PCB 基材,3.7,10.04473359961498,43.76,26.8605175622,24.60087772,41.17647058823528,0.1346389102377389
21,601600,中国铝业,工业金属铜铝,4.95,6.336831090450483,58.78,13.9581582345,15.8585845676,58.46153846153845,0.11897407471115601
22,688502,茂莱光学,精密光学元件,1.15,11.700983648159987,288.73,28.2278976287,50.4855289793,290.50554870530203,0.11046985559968348
23,688012,中微公司,刻蚀与制程设备,1.57,14.405998780072663,25.67,35.4047200139,41.5370612685,25.0,0.10227560570638383
24,688498,源杰科技,模拟与光芯片设计,0.69,16.966771973454254,35.93,40.5207571661,44.6413840903,41.66666666666667,0.1021214433653014
25,600111,北方稀土,稀土与钨金属,1.9,4.636874111525293,727.3,61.1850449689,11.2089249321,727.0833333333334,0.07729432638620644
26,603296,华勤技术,智能硬件 ODM 代工,3.67,2.4058474582062965,39.04,115.6498563971,8.4158587448,39.99999999999999,0.04552678936424252
27,603986,兆易创新,存储芯片与模组,1.41,12.290331676135564,14.57,17.3168760221,37.440423888,12.903225806451601,-0.016198309118912183
28,000657,中钨高新,稀土与钨金属,3.18,7.447484846643622,3.24,3.5771639071,22.1198733883,40.000000000000014,-0.03640352092263161
29,601689,拓普集团,汽车零部件,2.85,9.804226816972966,-12.39,1.3955417034,19.8928536106,-13.157894736842103,-0.03826613105835678
30,688195,腾景科技,精密光学元件,1.4,11.511092273766511,15.81,20.6025534305,34.5898995357,11.111111111111116,-0.04099911625779459
31,301629,矽电股份,设备零部件与耗材,1.59,12.455042173839532,-17.86,-0.5073105446,35.3400754128,-17.777777777777782,-0.045491061210447215
32,000977,浪潮信息,AI 服务器与算力硬件,2.3,0.9873663826013586,52.78,165.3117922327,3.4478014409,52.79533300923678,-0.04939529895795993
33,301018,申菱环境,数据中心温控设备,2.11,8.61362976651042,7.34,27.1791711001,21.9930286491,5.263157894736836,-0.078923363188524
34,601138,工业富联,AI 服务器与算力硬件,3.48,3.2607756986593484,24.99,35.156965874,6.73449962,23.809523809523814,-0.1089291866750765
35,300475,香农芯创,存储芯片与模组,0.57,0.21159741362352288,18.66,243.3324831079,2.4233265699700004,33.33333333333335,-0.1123406038215947
36,300661,圣邦股份,模拟与光芯片设计,1.29,7.569610484740642,9.9,8.3007659435,49.0653292616,-16.148531951640756,-0.11823650398386183
37,688981,中芯国际,晶圆代工制造,0.9,8.32075901696114,166.5,29.4375668882,23.0968613439,183.33333333333334,-0.1379482389584366
38,301392,汇成真空,自动化与真空设备,1.12,8.544809380543105,-17.76,35.8230926437,25.8910971782,-38.32468495181616,-0.16044559215180718
39,002384,东山精密,PCB 印制电路板,2.39,5.299345527338841,57.55,11.0711046623,14.1327156047,58.823529411764696,-0.17103559592462536
40,601869,长飞光纤,光纤光缆,1.15,5.242212164751511,161.91,21.2326881078,27.8421796935,150.0,-0.19015189585971606
41,002837,英维克,数据中心温控设备,1.63,5.148102874261486,-22.53,25.0710648384,26.4533338345,-37.5,-0.20850804084574204
42,002851,麦格米特,工业电源与控制,1.77,4.63041536121575,-22.57,26.5098175174,22.9516683331,-28.910463861920178,-0.2162164034316867
43,300620,光库科技,光无源器件与光引擎,0.56,4.088956169951456,66.97,65.5312545375,26.9031398204,67.3076923076923,-0.23109240616946647
44,000938,紫光股份,网络交换设备,2.58,1.6765262805607213,-15.75,22.2479290011,15.6672489402,-15.698478561549113,-0.2384420721612568
45,600460,士兰微,功率半导体器件,1.21,4.952440538246363,1072.4303055473,21.6987114021,21.3149071558,-1100.0,-0.32011821043707633
46,603186,华正新材,覆铜板与 PCB 基材,1.26,1.7865021159608068,1953.5110519393,20.4946821595,12.5917562857,-1310.0,-0.3317608493891669
47,688503,聚和材料,半导体高分子材料,1.91,2.9944339080714197,18.24,1.3829694374,6.3305710347,19.354838709677423,-0.33462616455641425
48,002466,天齐锂业,锂矿与锂电材料,0.25,4.03507895985068,102.68,-0.0167251016,44.3146214787,-102.52100840336134,-0.3411592572082257
49,688261,东微半导,功率半导体器件,0.27,2.7593136082297978,81.78,63.4150349675,13.6151147369,50.0,-0.3475559049452671
50,600584,长电科技,半导体封装测试,0.73,2.17847211078497,50.39,36.4383328133,12.6334720607,37.5,-0.3752490833541129
51,603738,泰晶科技,石英晶振元件,0.49,4.333845104300842,-71.52,10.0906846512,17.8744546142,-75.0,-0.4155080706276185
52,688037,芯源微,涂胶显影设备,0.17,1.6926015200099718,-70.89,12.7371339532,34.2942212262,-83.33333333333333,-0.44358722805373946
53,688347,华虹宏力,晶圆代工制造,0.05,0.5818051755430906,-89.73,18.6592323213,17.7528799528,-92.3076923076923,-0.539701767911419
54,688702,盛科通信 - U,网络与接口芯片,-0.65,-6.81507062633204,-150.4240893434,-12.3002337689,44.0530413211,300.0,-0.6716855973984744
55,688409,富创精密,设备零部件与耗材,-0.48,-2.9079763857508776,-136.67,8.6187038758,24.1473363516,-124.13793103448276,-0.6820561526721929
