rank,code,name,roe,net_margin,profit_yoy,gross_margin,rev_yoy,score
1,300604,长川科技,3.3,13.615518838199653,2422.727315581787,52.7517869188,45.7399942271,1.7312371540070968
2,300502,新易盛,9.128200000000009,38.80617562906175,384.54,48.6597338537,264.1319456609,1.5774479030631694
3,301165,锐捷网络,2.31,4.230156618719164,2422.727315581787,37.4892835515,18.1387526148,1.4279146328210601
4,300476,胜宏科技,9.128200000000009,21.349132985801454,339.22,33.3747055967,80.314475653,1.2003934296246224
5,300394,天孚通信,8.13,35.741638656014835,21.07,53.0450541469,29.106096866,1.1596456026878774
6,688256,寒武纪,6.32,31.983586853325008,256.8155658397,55.9897126931,4230.2203024577,1.026804265327214
7,603259,药明康德,6.08,38.03329745828056,89.06,42.2603537945,20.9555856721,1.0084398951110314
8,603186,华正新材,1.26,1.7865021159608068,1953.5110519393,12.5917562857,20.4946821595,0.9467562595951571
9,300308,中际旭创,7.94,23.716426014484153,56.83,36.7009988471,37.8236822825,0.9216119986588236
10,688008,澜起科技,4.5,39.96246390941489,135.14,60.4497811316,65.7766068172,0.890980048274466
11,688726,拉普拉斯,6.76,17.377293874295052,44.36,32.4105842692,36.4787151492,0.648285471374238
12,601899,紫金矿业,7.12,12.881031639596246,62.39,22.8859705135,5.5520849254,0.6131376035639547
13,600030,中信证券,2.39,39.96246390941489,32.0,,19.4664233258,0.5744853144768457
14,601288,农业银行,2.705,38.5329504912307,2.2,,0.3510356358,0.5635519979741553
15,601398,工商银行,2.265,39.55182494101723,-3.99,,-3.2154764991,0.5279009929066288
16,600276,恒瑞医药,4.08,26.00828004818243,36.9,85.169023166,20.1428992029,0.49928035210206057
17,002371,北方华创,4.95,19.262754812998946,38.8,43.0156502414,37.903283475,0.4688673686944178
18,601995,中金公司,1.98,35.69297808538959,64.85,,47.6855605713,0.4628784266950218
19,600460,士兰微,1.21,4.952440538246363,1072.4303055473,21.3149071558,21.6987114021,0.42390800895455594
20,600900,长江电力,2.43,30.4478354007171,30.56,52.9766746662,8.6769265327,0.3890021892986218
21,300054,鼎龙股份,3.73,17.113384081396106,72.84,48.8198375317,16.367305799,0.30477619810210904
22,300666,江丰电子,3.42,15.714182738250038,163.58,32.3857941367,29.5267816422,0.30014558972953714
23,002050,三花智控,4.57,11.779412588008945,39.47,26.8271507758,19.0990093073,0.27568989667306965
24,600111,北方稀土,1.9,4.636874111525293,727.3,11.2089249321,61.1850449689,0.271764464491405
25,601600,中国铝业,4.95,6.336831090450483,58.78,15.8585845676,13.9581582345,0.22491848012310692
26,300373,扬杰科技,3.07,17.285947408199867,51.22,34.603007485,18.9039193719,0.21621461712021914
27,600183,生益科技,3.7,10.04473359961498,43.76,24.60087772,26.8605175622,0.1415038332788058
28,601088,中国神华,2.8,17.171804268161242,-18.0,34.0633757275,-21.0714366734,0.13657121846807455
29,688502,茂莱光学,1.15,11.700983648159987,288.73,50.4855289793,28.2278976287,0.035236312118852274
30,000657,中钨高新,3.18,7.447484846643622,3.24,22.1198733883,3.5771639071,0.0019053278238115312
31,601689,拓普集团,2.85,9.804226816972966,-12.39,19.8928536106,1.3955417034,-0.0003879878288045406
32,603296,华勤技术,3.67,2.4058474582062965,39.04,8.4158587448,115.6498563971,-0.017076876944916785
33,601138,工业富联,3.48,3.2607756986593484,24.99,6.73449962,35.156965874,-0.03170636409664731
